ADBE,Date,Close
ADBE,5/2/2016 16:00:00,94.9
ADBE,5/3/2016 16:00:00,93.66
ADBE,5/4/2016 16:00:00,92.94
ADBE,5/5/2016 16:00:00,93.5
ADBE,5/6/2016 16:00:00,94.3
ADBE,5/9/2016 16:00:00,94.61
ADBE,5/10/2016 16:00:00,96.52
ADBE,5/11/2016 16:00:00,96.1
ADBE,5/12/2016 16:00:00,95.96
ADBE,5/13/2016 16:00:00,95.97
ADBE,5/16/2016 16:00:00,97.23
ADBE,5/17/2016 16:00:00,95.93
ADBE,5/18/2016 16:00:00,96.7
ADBE,5/19/2016 16:00:00,95.88
ADBE,5/20/2016 16:00:00,96.88
ADBE,5/23/2016 16:00:00,96.62
ADBE,5/24/2016 16:00:00,99.63
ADBE,5/25/2016 16:00:00,99.61
ADBE,5/26/2016 16:00:00,99.37
ADBE,5/27/2016 16:00:00,100.14
ADBE,5/31/2016 16:00:00,99.47
ADBE,6/1/2016 16:00:00,100.04
ADBE,6/2/2016 16:00:00,100.17
ADBE,6/3/2016 16:00:00,98.7
ADBE,6/6/2016 16:00:00,99.12
ADBE,6/7/2016 16:00:00,98.52
ADBE,6/8/2016 16:00:00,98.68
ADBE,6/9/2016 16:00:00,98.07
ADBE,6/10/2016 16:00:00,97.09
ADBE,6/13/2016 16:00:00,96.96
ADBE,6/14/2016 16:00:00,96.98
ADBE,6/15/2016 16:00:00,97.02
ADBE,6/16/2016 16:00:00,97.19
ADBE,6/17/2016 16:00:00,95.58
ADBE,6/20/2016 16:00:00,97.99
ADBE,6/21/2016 16:00:00,99.72
ADBE,6/22/2016 16:00:00,94.01
ADBE,6/23/2016 16:00:00,96.21
ADBE,6/24/2016 16:00:00,92.2
ADBE,6/27/2016 16:00:00,90.85
ADBE,6/28/2016 16:00:00,92.46
ADBE,6/29/2016 16:00:00,94.39
ADBE,6/30/2016 16:00:00,95.79
ADBE,7/1/2016 16:00:00,95.32
ADBE,7/5/2016 16:00:00,94.73
ADBE,7/6/2016 16:00:00,95.18
ADBE,7/7/2016 16:00:00,95.14
ADBE,7/8/2016 16:00:00,96.79
ADBE,7/11/2016 16:00:00,97.14
ADBE,7/12/2016 16:00:00,97.54
ADBE,7/13/2016 16:00:00,97.34
ADBE,7/14/2016 16:00:00,97.7
ADBE,7/15/2016 16:00:00,97.83
ADBE,7/18/2016 16:00:00,97.79
ADBE,7/19/2016 16:00:00,97.79
ADBE,7/20/2016 16:00:00,98.4
ADBE,7/21/2016 16:00:00,96.34
ADBE,7/22/2016 16:00:00,98.06
ADBE,7/25/2016 16:00:00,97.32
ADBE,7/26/2016 16:00:00,97.91
ADBE,7/27/2016 16:00:00,97.93
ADBE,7/28/2016 16:00:00,98.44
ADBE,7/29/2016 16:00:00,97.86
ADBE,8/1/2016 16:00:00,97.72
ADBE,8/2/2016 16:00:00,96.05
ADBE,8/3/2016 16:00:00,96.67
ADBE,8/4/2016 16:00:00,97.09
ADBE,8/5/2016 16:00:00,99.04
ADBE,8/8/2016 16:00:00,98.49
ADBE,8/9/2016 16:00:00,98.87
ADBE,8/10/2016 16:00:00,100.62
ADBE,8/11/2016 16:00:00,101.67
ADBE,8/12/2016 16:00:00,101.04
ADBE,8/15/2016 16:00:00,100.93
ADBE,8/16/2016 16:00:00,100.6
ADBE,8/17/2016 16:00:00,99.7
ADBE,8/18/2016 16:00:00,100.67
ADBE,8/19/2016 16:00:00,100.32
ADBE,8/22/2016 16:00:00,100.24
ADBE,8/23/2016 16:00:00,101.14
ADBE,8/24/2016 16:00:00,101.14
ADBE,8/25/2016 16:00:00,101.69
ADBE,8/26/2016 16:00:00,102.06
ADBE,8/29/2016 16:00:00,102.3
ADBE,8/30/2016 16:00:00,102
ADBE,8/31/2016 16:00:00,102.31
ADBE,9/1/2016 16:00:00,102.9
ADBE,9/2/2016 16:00:00,103.57
ADBE,9/6/2016 16:00:00,103.5
ADBE,9/7/2016 16:00:00,103
ADBE,9/8/2016 16:00:00,101.88
ADBE,9/9/2016 16:00:00,99.38
ADBE,9/12/2016 16:00:00,100.32
ADBE,9/13/2016 16:00:00,98.77
ADBE,9/14/2016 16:00:00,98.79
ADBE,9/15/2016 16:00:00,99.62
ADBE,9/16/2016 16:00:00,98.93
ADBE,9/19/2016 16:00:00,99.68
ADBE,9/20/2016 16:00:00,100.62
ADBE,9/21/2016 16:00:00,107.78
