META,Date,Close
META,3/24/2016 16:00:00,113.05
META,3/28/2016 16:00:00,113.69
META,3/29/2016 16:00:00,116.14
META,3/30/2016 16:00:00,114.7
META,3/31/2016 16:00:00,114.1
META,4/1/2016 16:00:00,116.06
META,4/4/2016 16:00:00,112.55
META,4/5/2016 16:00:00,112.22
META,4/6/2016 16:00:00,113.71
META,4/7/2016 16:00:00,113.64
META,4/8/2016 16:00:00,110.63
META,4/11/2016 16:00:00,108.99
META,4/12/2016 16:00:00,110.61
META,4/13/2016 16:00:00,110.51
META,4/14/2016 16:00:00,110.84
META,4/15/2016 16:00:00,109.64
META,4/18/2016 16:00:00,110.45
META,4/19/2016 16:00:00,112.29
META,4/20/2016 16:00:00,112.42
META,4/21/2016 16:00:00,113.44
META,4/22/2016 16:00:00,110.56
META,4/25/2016 16:00:00,110.1
META,4/26/2016 16:00:00,108.76
META,4/27/2016 16:00:00,108.89
META,4/28/2016 16:00:00,116.73
META,4/29/2016 16:00:00,117.58
META,5/2/2016 16:00:00,118.57
META,5/3/2016 16:00:00,117.43
META,5/4/2016 16:00:00,118.06
META,5/5/2016 16:00:00,117.81
META,5/6/2016 16:00:00,119.49
META,5/9/2016 16:00:00,119.24
META,5/10/2016 16:00:00,120.5
META,5/11/2016 16:00:00,119.52
META,5/12/2016 16:00:00,120.28
META,5/13/2016 16:00:00,119.81
META,5/16/2016 16:00:00,118.67
META,5/17/2016 16:00:00,117.35
META,5/18/2016 16:00:00,117.65
META,5/19/2016 16:00:00,116.81
META,5/20/2016 16:00:00,117.35
META,5/23/2016 16:00:00,115.97
META,5/24/2016 16:00:00,117.7
META,5/25/2016 16:00:00,117.89
META,5/26/2016 16:00:00,119.47
META,5/27/2016 16:00:00,119.38
META,5/31/2016 16:00:00,118.81
META,6/1/2016 16:00:00,118.78
META,6/2/2016 16:00:00,118.93
META,6/3/2016 16:00:00,118.47
META,6/6/2016 16:00:00,118.79
META,6/7/2016 16:00:00,117.76
META,6/8/2016 16:00:00,118.39
META,6/9/2016 16:00:00,118.56
META,6/10/2016 16:00:00,116.62
META,6/13/2016 16:00:00,113.95
META,6/14/2016 16:00:00,114.94
META,6/15/2016 16:00:00,114.6
META,6/16/2016 16:00:00,114.39
META,6/17/2016 16:00:00,113.02
META,6/20/2016 16:00:00,113.37
META,6/21/2016 16:00:00,114.38
META,6/22/2016 16:00:00,113.91
META,6/23/2016 16:00:00,115.08
META,6/24/2016 16:00:00,112.08
META,6/27/2016 16:00:00,108.97
META,6/28/2016 16:00:00,112.7
META,6/29/2016 16:00:00,114.16
META,6/30/2016 16:00:00,114.28
META,7/1/2016 16:00:00,114.19
META,7/5/2016 16:00:00,114
META,7/6/2016 16:00:00,116.7
META,7/7/2016 16:00:00,115.85
META,7/8/2016 16:00:00,117.24
META,7/11/2016 16:00:00,117.87
META,7/12/2016 16:00:00,117.93
META,7/13/2016 16:00:00,116.78
META,7/14/2016 16:00:00,117.29
META,7/15/2016 16:00:00,116.86
META,7/18/2016 16:00:00,119.37
META,7/19/2016 16:00:00,120.61
META,7/20/2016 16:00:00,121.92
META,7/21/2016 16:00:00,120.61
META,7/22/2016 16:00:00,121
META,7/25/2016 16:00:00,121.63
META,7/26/2016 16:00:00,121.22
META,7/27/2016 16:00:00,123.34
META,7/28/2016 16:00:00,125
